GAF Load Error Summary
============================================================
Total errors: 4,859
Unique error categories: 962

Error Counts by Category
------------------------------------------------------------
   3,675  Goref ID is not known or loaded
     105  invalid evidence code: EXP
      38  Publication not found for PMID
      24  invalid evidence code: ECO:0005547
      23  Gene not found for ID
      18  Term in "Do Not Annotate" subset
       6  Unable to find pubmed ID[DOI:10.1007/s10695-006-9118-1]
       4  Protein binding (GO:0005515) requires IPI evidence
       4  RO term does not exist
       3  Unable to find pubmed ID[DOI:10.1016/j.watbs.2022.100131]
       3  Unable to find pubmed ID[DOI:10.2331/fishsci.68.sup1_765]
       3  Unable to find pubmed ID[Reactome:R-DRE-8864376]
       2  Unable to find pubmed ID[DOI:10.4236/cellbio.2013.24026]
       2  Unable to find pubmed ID[DOI:10.4236/ojemd.2012.24012]
       2  Unable to find pubmed ID[Reactome:R-DRE-9010417]
       1  Cannot add root-term annotation GO:0003674 for marker 'a2m3a' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'abcf2b' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'abhd10b' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'abhd14b' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'abhd6b' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'abi3a' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'acbd4' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'acbd7' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'actmap' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'ambra1b' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'amn' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'ankef1b' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'ankrd13b' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'apoltp' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'arglu1a' as there are already non-root term annotations existent.
       1  Cannot add root-term annotation GO:0003674 for marker 'arglu1b' as there are already non-root term annotations existent.
