allele,geneid
sa30867,ZDB-GENE-140106-108
sa39494,ZDB-GENE-110411-237
sa34758,ZDB-GENE-141006-1
sa43975,ZDB-GENE-060222-2
sa39120,ZDB-GENE-041111-303
sa19634,ZDB-GENE-040426-2371
sa27625,ZDB-GENE-130723-2
sa33994,ZDB-GENE-160728-147
sa39345,ZDB-GENE-000406-3
sa9160,ZDB-GENE-090313-329
sa25756,ZDB-GENE-121022-1
sa9159,ZDB-GENE-130530-762
sa34173,ZDB-GENE-100422-10
sa8536,ZDB-GENE-140106-145
sa31894,ZDB-GENE-100914-6
sa30404,ZDB-GENE-131126-29
sa34071,ZDB-GENE-111102-3
sa41180,ZDB-GENE-081104-477
sa8919,ZDB-GENE-120626-1
sa38311,ZDB-GENE-121022-1
sa8578,ZDB-GENE-040625-31
sa38621,ZDB-GENE-080327-32
sa29476,ZDB-GENE-130213-1
sa40900,ZDB-GENE-031112-8
sa31609,ZDB-GENE-111215-1
sa27559,ZDB-GENE-120727-24
sa41537,ZDB-GENE-030113-2
sa33089,ZDB-GENE-140106-188
sa44387,ZDB-GENE-040426-692
sa39019,ZDB-GENE-131120-99
sa8701,ZDB-GENE-120727-5
sa41548,ZDB-GENE-141006-1
sa20944,ZDB-GENE-111102-3
sa35604,ZDB-GENE-130530-991
sa40101,ZDB-GENE-170215-1
sa32781,ZDB-GENE-100707-1
sa41006,ZDB-GENE-100422-15
sa32093,ZDB-GENE-120827-1
sa40821,ZDB-GENE-160728-30
sa34135,ZDB-GENE-140821-1
sa43715,ZDB-GENE-170601-167
sa42146,ZDB-GENE-130530-980
sa8473,ZDB-GENE-131219-1
sa8860,ZDB-GENE-171002-1
sa33352,ZDB-GENE-110920-6
sa35601,ZDB-GENE-170113-2
sa28137,ZDB-GENE-090313-90
sa34529,ZDB-GENE-161219-1
sa8482,ZDB-GENE-110411-145
sa35416,ZDB-GENE-030131-9789
sa38587,ZDB-GENE-040801-161
sa38794,ZDB-GENE-050202-4
sa37144,ZDB-GENE-151029-1
sa21112,ZDB-GENE-161213-1
sa34548,ZDB-GENE-140106-76
sa41571,ZDB-GENE-111128-1
sa38965,ZDB-GENE-071218-5
sa40506,ZDB-GENE-030131-9549
sa34161,ZDB-GENE-100319-2
sa38585,ZDB-GENE-081124-2
sa8447,ZDB-GENE-140106-32
sa43174,ZDB-GENE-030131-5790
sa32831,ZDB-GENE-090609-2
sa9353,ZDB-GENE-101021-4
sa43549,ZDB-GENE-030131-5575
sa40168,ZDB-GENE-060503-811
sa44067,ZDB-GENE-130530-949
sa37995,ZDB-GENE-130208-1
