epha4b	hdac1<sup>hi1618</sup> 	forebrain	Pharyngula:Prim-15	in situ RNA wm	+	4D	Std
epha4b		rhombomere 1	Pharyngula:Prim-15	in situ RNA wm	+	4D	Std
epha4b		rhombomere 3	Pharyngula:Prim-15	in situ RNA wm	+	4D	Std
epha4b		rhombomere 5	Pharyngula:Prim-15	in situ RNA wm	+	4D	Std
epha4b	 	forebrain	Pharyngula:Prim-15	in situ RNA wm	+	4C	Std
epha4b		rhombomere 1	Pharyngula:Prim-15	in situ RNA wm	+	4C	Std	
epha4b		rhombomere 3	Pharyngula:Prim-15	in situ RNA wm	+	4C	Std
epha4b		rhombomere 5	Pharyngula:Prim-15	in situ RNA wm	+	4C	Std
ashb	hdac1<sup>hi1618</sup> 	brain	Pharyngula:Prim-15	in situ RNA wm	+	4F	Std
ashb		spinal cord	Pharyngula:Prim-15	in situ RNA wm	+	4F	Std
ashb	WT	brain 	Pharyngula:Prim-15	in situ RNA wm	+	4E	Std
ashb		spinal cord	Pharyngula:Prim-15	in situ RNA wm	+	4E	Std
neurog1	hdac1<sup>hi1618</sup>	brain	Pharyngula:Prim-5	in situ RNA wm	+	4G	Std
neurog1		spinal cord	Pharyngula:Prim-5	in situ RNA wm	+	4G	Std
neurog1	WT	brain	Pharyngula:Prim-5	in situ RNA wm	+	4H	Std
neurog1		spinal cord	Pharyngula:Prim-5	in situ RNA wm	+	4H	Std
pax2a	WT	midbrain-hindbrain boundary	Pharyngula:Prim-5	in situ RNA wm	+	4A	Std
pax2a		otic vesicle	Pharyngula:Prim-5	in situ RNA wm	+	4A	Std
pax2a		interneurons-spinal cord	Pharyngula:Prim-5	in situ RNA wm	+	4A	Std
